Date,Store,Dept,Weekly_Sales
2012-11-02,1,1,32863.22620000003
2012-11-02,1,2,47444.865800000036
2012-11-02,1,3,11392.599300000002
2012-11-02,1,4,38707.54120000001
2012-11-02,1,5,31760.940700000003
2012-11-02,1,6,4854.9114000000045
2012-11-02,1,7,24130.944400000004
2012-11-02,1,8,38658.106
2012-11-02,1,9,42152.228100000044
2012-11-02,1,10,30768.571099999997
2012-11-02,1,11,25415.148699999998
2012-11-02,1,12,9960.928600000007
2012-11-02,1,13,43154.309300000015
2012-11-02,1,14,14119.6845
2012-11-02,1,16,6183.117899999999
2012-11-02,1,17,8809.796999999997
2012-11-02,1,18,12952.771800000004
2012-11-02,1,19,920.9252000000004
2012-11-02,1,20,3385.5842
2012-11-02,1,21,8380.689500000002
2012-11-02,1,22,8085.151800000009
2012-11-02,1,23,22838.301299999996
2012-11-02,1,24,6687.833199999997
2012-11-02,1,25,10572.665
2012-11-02,1,26,7637.695000000003
2012-11-02,1,27,1837.5618000000018
2012-11-02,1,28,775.4702000000003
2012-11-02,1,29,4846.405599999999
2012-11-02,1,30,2430.8025
2012-11-02,1,31,1908.8494000000005
2012-11-02,1,32,6632.586700000001
2012-11-02,1,33,6521.176899999995
2012-11-02,1,34,11690.047000000004
2012-11-02,1,35,2557.874199999999
2012-11-02,1,36,2073.8894999999993
2012-11-02,1,37,2883.6652999999997
2012-11-02,1,38,86400.44950000002
2012-11-02,1,40,62773.802299999974
2012-11-02,1,41,1218.3372000000002
2012-11-02,1,42,8127.338699999994
2012-11-02,1,44,6057.178399999996
2012-11-02,1,46,18531.693800000005
2012-11-02,1,48,2108.823
2012-11-02,1,49,10134.609699999995
2012-11-02,1,52,2132.029700000001
2012-11-02,1,55,14387.570200000006
2012-11-02,1,56,1249.907600000001
2012-11-02,1,58,3171.5494
2012-11-02,1,59,675.5457999999993
2012-11-02,1,60,1279.424000000001
2012-11-02,1,67,6240.2973
2012-11-02,1,71,2542.7556000000004
2012-11-02,1,72,54793.56840000002
2012-11-02,1,74,9898.793299999998
2012-11-02,1,79,43376.262399999985
2012-11-02,1,80,19034.56079999999
2012-11-02,1,81,31209.472999999987
2012-11-02,1,82,20206.730899999995
2012-11-02,1,83,5757.165000000003
2012-11-02,1,85,3118.729899999998
2012-11-02,1,87,60117.173299999995
2012-11-02,1,90,89901.11820000004
2012-11-02,1,91,65002.85939999998
2012-11-02,1,92,100000.0
2012-11-02,1,93,78168.57709999997
2012-11-02,1,94,62708.58670000004
2012-11-02,1,95,100000.0
2012-11-02,1,96,32590.707499999982
2012-11-02,1,97,34621.20829999997
2012-11-02,1,98,12973.151899999999
2012-11-02,1,99,129.19340000000003
2012-11-09,1,1,20426.813699999995
2012-11-09,1,2,48113.28610000001
2012-11-09,1,3,11790.937300000001
2012-11-09,1,4,37749.67110000002
2012-11-09,1,5,37390.59569999999
2012-11-09,1,6,3489.011899999999
2012-11-09,1,7,25862.857000000015
2012-11-09,1,8,36066.47559999999
2012-11-09,1,9,35062.467499999984
2012-11-09,1,10,32555.9553
2012-11-09,1,11,23486.7813
2012-11-09,1,12,10363.056000000002
2012-11-09,1,13,41134.52780000001
2012-11-09,1,14,18077.345300000004
2012-11-09,1,16,6619.9446
2012-11-09,1,17,8675.231900000002
2012-11-09,1,18,12972.4322
2012-11-09,1,19,946.873000000001
2012-11-09,1,20,3444.536300000001
2012-11-09,1,21,8423.713699999998
2012-11-09,1,22,7614.399300000006
2012-11-09,1,23,21608.555000000004
2012-11-09,1,24,6391.087200000001
2012-11-09,1,25,9835.03509999999
2012-11-09,1,26,7456.270800000004
2012-11-09,1,27,1745.483000000001
2012-11-09,1,28,724.6019
2012-11-09,1,29,4604.5581
2012-11-09,1,30,2446.7743
2012-11-09,1,31,1643.5463999999986
2012-11-09,1,32,6487.043000000001
2012-11-09,1,33,6300.966999999997
2012-11-09,1,34,11419.429200000002
2012-11-09,1,35,2477.7540999999997
2012-11-09,1,36,1416.6774000000003
2012-11-09,1,37,2939.0921999999996
2012-11-09,1,38,80302.08950000005
2012-11-09,1,40,60799.08990000003
2012-11-09,1,41,1162.5399000000002
